film_id;title;description;release_year;language_id;rental_duration;rental_rate;length;replacement_cost;rating;last_update;special_features;fulltext
93.0;QnJhbm5pZ2FuIFN1bnJpc2U=;QSBBbWF6aW5nIEVwaXN0bGUgb2YgYSBNb29zZSBBbmQgYSBDcm9jb2RpbGUgd2hvIG11c3QgT3V0cmFjZSBhIERvZyBpbiBCZXJsaW4=;2006.0;1.0;4.0;4.99;121.0;27.99;UEc=;20130526000000;e1RyYWlsZXJzfQ==;J2FtYXonOjQgJ2Jlcmxpbic6MTggJ2JyYW5uaWdhbic6MSAnY3JvY29kaWwnOjExICdkb2cnOjE2ICdlcGlzdGwnOjUgJ21vb3MnOjggJ211c3QnOjEzICdvdXRyYWMnOjE0ICdzdW5yaXMnOjI=
725.0;UmVxdWllbSBUeWNvb24=;QSBVbmJlbGlldmVhYmxlIENoYXJhY3RlciBTdHVkeSBvZiBhIENhdCBBbmQgYSBEYXRhYmFzZSBBZG1pbmlzdHJhdG9yIHdobyBtdXN0IFB1cnN1ZSBhIFRlYWNoZXIgaW4gQSBNb25hc3Rlcnk=;2006.0;1.0;6.0;4.99;167.0;25.99;Ug==;20130526000000;e1RyYWlsZXJzLENvbW1lbnRhcmllcywiQmVoaW5kIHRoZSBTY2VuZXMifQ==;J2FkbWluaXN0cic6MTMgJ2NhdCc6OSAnY2hhcmFjdCc6NSAnZGF0YWJhcyc6MTIgJ21vbmFzdGVyaSc6MjEgJ211c3QnOjE1ICdwdXJzdSc6MTYgJ3JlcXVpZW0nOjEgJ3N0dWRpJzo2ICd0ZWFjaGVyJzoxOCAndHljb29uJzoyICd1bmJlbGlldic6NA==
252.0;RHJlYW0gUGlja3Vw;QSBFcGljIERpc3BsYXkgb2YgYSBDYXIgQW5kIGEgQ29tcG9zZXIgd2hvIG11c3QgT3ZlcmNvbWUgYSBGb3JlbnNpYyBQc3ljaG9sb2dpc3QgaW4gVGhlIEd1bGYgb2YgTWV4aWNv;2006.0;1.0;6.0;2.99;135.0;18.99;UEc=;20130526000000;e1RyYWlsZXJzLENvbW1lbnRhcmllcywiQmVoaW5kIHRoZSBTY2VuZXMifQ==;J2Nhcic6OCAnY29tcG9zJzoxMSAnZGlzcGxheSc6NSAnZHJlYW0nOjEgJ2VwaWMnOjQgJ2ZvcmVucyc6MTYgJ2d1bGYnOjIwICdtZXhpY28nOjIyICdtdXN0JzoxMyAnb3ZlcmNvbSc6MTQgJ3BpY2t1cCc6MiAncHN5Y2hvbG9naXN0JzoxNw==
629.0;Tm90b3Jpb3VzIFJldW5pb24=;QSBBbWF6aW5nIEVwaXN0bGUgb2YgYSBXb21hbiBBbmQgYSBTcXVpcnJlbCB3aG8gbXVzdCBGaWdodCBhIEh1bnRlciBpbiBBIEJhbG9vbg==;2006.0;1.0;7.0;0.99;128.0;9.99;TkMtMTc=;20130526000000;e1RyYWlsZXJzLENvbW1lbnRhcmllcywiRGVsZXRlZCBTY2VuZXMifQ==;J2FtYXonOjQgJ2JhbG9vbic6MTkgJ2VwaXN0bCc6NSAnZmlnaHQnOjE0ICdodW50ZXInOjE2ICdtdXN0JzoxMyAnbm90b3JpJzoxICdyZXVuaW9uJzoyICdzcXVpcnJlbCc6MTEgJ3dvbWFuJzo4
88.0;Qm9ybiBTcGluYWw=;QSBUb3VjaGluZyBFcGlzdGxlIG9mIGEgRnJpc2JlZSBBbmQgYSBIdXNiYW5kIHdobyBtdXN0IFB1cnN1ZSBhIFN0dWRlbnQgaW4gTmlnZXJpYQ==;2006.0;1.0;7.0;4.99;179.0;17.99;UEc=;20130526000000;e1RyYWlsZXJzLENvbW1lbnRhcmllcywiRGVsZXRlZCBTY2VuZXMifQ==;J2Jvcm4nOjEgJ2VwaXN0bCc6NSAnZnJpc2JlJzo4ICdodXNiYW5kJzoxMSAnbXVzdCc6MTMgJ25pZ2VyaWEnOjE4ICdwdXJzdSc6MTQgJ3NwaW5hbCc6MiAnc3R1ZGVudCc6MTYgJ3RvdWNoJzo0
770.0;U2Npc3NvcmhhbmRzIFNsdW1z;QSBBd2UtSW5zcGlyaW5nIERyYW1hIG9mIGEgR2lybCBBbmQgYSBUZWNobmljYWwgV3JpdGVyIHdobyBtdXN0IE1lZXQgYSBGZW1pbmlzdCBpbiBUaGUgQ2FuYWRpYW4gUm9ja2llcw==;2006.0;1.0;5.0;2.99;147.0;13.99;Rw==;20130526000000;e0NvbW1lbnRhcmllcywiRGVsZXRlZCBTY2VuZXMiLCJCZWhpbmQgdGhlIFNjZW5lcyJ9;J2F3ZSc6NSAnYXdlLWluc3Bpcic6NCAnY2FuYWRpYW4nOjIyICdkcmFtYSc6NyAnZmVtaW5pc3QnOjE5ICdnaXJsJzoxMCAnaW5zcGlyJzo2ICdtZWV0JzoxNyAnbXVzdCc6MTYgJ3JvY2tpJzoyMyAnc2Npc3NvcmhhbmQnOjEgJ3NsdW0nOjIgJ3RlY2huaWMnOjEzICd3cml0ZXInOjE0
810.0;U2x1bXMgRHVjaw==;QSBBbWF6aW5nIENoYXJhY3RlciBTdHVkeSBvZiBhIFRlYWNoZXIgQW5kIGEgRGF0YWJhc2UgQWRtaW5pc3RyYXRvciB3aG8gbXVzdCBEZWZlYXQgYSBXYWl0cmVzcyBpbiBBIEpldCBCb2F0;2006.0;1.0;5.0;0.99;147.0;21.99;UEc=;20130526000000;e0NvbW1lbnRhcmllcywiRGVsZXRlZCBTY2VuZXMiLCJCZWhpbmQgdGhlIFNjZW5lcyJ9;J2FkbWluaXN0cic6MTMgJ2FtYXonOjQgJ2JvYXQnOjIyICdjaGFyYWN0Jzo1ICdkYXRhYmFzJzoxMiAnZGVmZWF0JzoxNiAnZHVjayc6MiAnamV0JzoyMSAnbXVzdCc6MTUgJ3NsdW0nOjEgJ3N0dWRpJzo2ICd0ZWFjaGVyJzo5ICd3YWl0cmVzcyc6MTg=
834.0;U3BvaWxlcnMgSGVsbGZpZ2h0ZXJz;QSBGYW5jaWZ1bCBTdG9yeSBvZiBhIFRlY2huaWNhbCBXcml0ZXIgQW5kIGEgU3F1aXJyZWwgd2hvIG11c3QgRGVmZWF0IGEgRG9nIGluIFRoZSBHdWxmIG9mIE1leGljbw==;2006.0;1.0;4.0;0.99;151.0;26.99;Rw==;20130526000000;e1RyYWlsZXJzLENvbW1lbnRhcmllcywiRGVsZXRlZCBTY2VuZXMiLCJCZWhpbmQgdGhlIFNjZW5lcyJ9;J2RlZmVhdCc6MTUgJ2RvZyc6MTcgJ2ZhbmNpJzo0ICdndWxmJzoyMCAnaGVsbGZpZ2h0JzoyICdtZXhpY28nOjIyICdtdXN0JzoxNCAnc3BvaWxlcic6MSAnc3F1aXJyZWwnOjEyICdzdG9yaSc6NSAndGVjaG5pYyc6OCAnd3JpdGVyJzo5
873.0;U3dlZXRoZWFydHMgU3VzcGVjdHM=;QSBCcmlsbGlhbnQgQ2hhcmFjdGVyIFN0dWR5IG9mIGEgRnJpc2JlZSBBbmQgYSBTdW1vIFdyZXN0bGVyIHdobyBtdXN0IENvbmZyb250IGEgV29tYW4gaW4gVGhlIEd1bGYgb2YgTWV4aWNv;2006.0;1.0;3.0;0.99;108.0;13.99;Rw==;20130526000000;e1RyYWlsZXJzLENvbW1lbnRhcmllcywiRGVsZXRlZCBTY2VuZXMiLCJCZWhpbmQgdGhlIFNjZW5lcyJ9;J2JyaWxsaWFudCc6NCAnY2hhcmFjdCc6NSAnY29uZnJvbnQnOjE2ICdmcmlzYmUnOjkgJ2d1bGYnOjIxICdtZXhpY28nOjIzICdtdXN0JzoxNSAnc3R1ZGknOjYgJ3N1bW8nOjEyICdzdXNwZWN0JzoyICdzd2VldGhlYXJ0JzoxICd3b21hbic6MTggJ3dyZXN0bGVyJzoxMw==
8.0;QWlycG9ydCBQb2xsb2Nr;QSBFcGljIFRhbGUgb2YgYSBNb29zZSBBbmQgYSBHaXJsIHdobyBtdXN0IENvbmZyb250IGEgTW9ua2V5IGluIEFuY2llbnQgSW5kaWE=;2006.0;1.0;6.0;4.99;54.0;15.99;Ug==;20130526000000;e1RyYWlsZXJzfQ==;J2FpcnBvcnQnOjEgJ2FuY2llbnQnOjE4ICdjb25mcm9udCc6MTQgJ2VwaWMnOjQgJ2dpcmwnOjExICdpbmRpYSc6MTkgJ21vbmtleSc6MTYgJ21vb3MnOjggJ211c3QnOjEzICdwb2xsb2NrJzoyICd0YWxlJzo1
